Date,City,PM25,O3,NO2,SO2,CO
2023-05-12,Toronto-North,50,53,9, , 
2023-05-13,Toronto-North,43,33,2, , 
2023-05-14,Toronto-North,33,32,2, , 
2023-05-15,Toronto-North,20,36,5, , 
2023-05-16,Toronto-North,24,32,9, , 
2023-05-17,Toronto-North,36,29,2, , 
2023-05-18,Toronto-North,14,35,7, , 
2023-05-19,Toronto-North,20,38,10, , 
2023-05-20,Toronto-North,43,24,4, , 
2023-05-21,Toronto-North,53,31,2, , 
2023-05-22,Toronto-North,29,31,2, , 
2023-05-23,Toronto-North,35,34,8, , 
2023-05-24,Toronto-North,40,28,9, , 
2023-05-25,Toronto-North,34,29,3, , 
2023-05-26,Toronto-North,16,33,6, , 
2023-05-27,Toronto-North,25,44,12, , 
2023-05-28,Toronto-North,36,47,7, , 
2023-05-29,Toronto-North,30,42,3, , 
2023-05-30,Toronto-North,35,53,8, , 
2023-05-31,Toronto-North,40,60,13,1, 
2023-06-01,Toronto-North,62,59,11, , 
2023-06-02,Toronto-North,63,45,4, , 
2023-06-03,Toronto-North,54,30,2, , 
2023-06-04,Toronto-North,58,34,3, , 
2023-06-05,Toronto-North,42,34,11, , 
2023-06-06,Toronto-North,74,35,4, , 
2023-06-07,Toronto-North,122,34,4, , 
2023-06-08,Toronto-North,108,22,4, , 
2023-06-09,Toronto-North,84,26,6, , 
2023-06-10,Toronto-North,84,39,6, , 
2023-06-11,Toronto-North,78,39,5, , 
2023-06-12,Toronto-North,68,32,4, , 
2023-06-13,Toronto-North,39,30,6, , 
2023-06-14,Toronto-North,47,31,4, , 
2023-06-15,Toronto-North,40,25,8, , 
2023-06-16,Toronto-North,41,24,2, , 
2023-06-17,Toronto-North,81,31,3, , 
2023-06-18,Toronto-North,76,45,4, , 
2023-06-19,Toronto-North,109,25,4, , 
2023-06-20,Toronto-North,49,31,2, , 
2023-06-21,Toronto-North,30,36,5, , 
2023-06-22,Toronto-North,50,33,5, , 
2023-06-23,Toronto-North,41,26,3, , 
2023-06-24,Toronto-North,18,22,4, , 
2023-06-25,Toronto-North,17,34,4, , 
2023-06-26,Toronto-North,39,33,2, , 
2023-06-27,Toronto-North,25,28,2, , 
2023-06-28,Toronto-North,49,34,3, , 
2023-06-29,Toronto-North,160,46,7, , 
2023-06-30,Toronto-North,77,54,5, , 
2023-07-01,Toronto-North,158,50,4, , 
2023-01-03,Toronto-North,46,13,13, , 
2023-01-04,Toronto-North,52,15,8, , 
2023-01-05,Toronto-North,18,11,15, , 
2023-01-06,Toronto-North,30,9,15, , 
2023-01-07,Toronto-North,40,25,6, , 
2023-01-08,Toronto-North,20,23,6, , 
2023-01-09,Toronto-North,17,18,9, , 
2023-01-10,Toronto-North,50,21,6, , 
2023-01-11,Toronto-North,13,16,8, , 
2023-01-12,Toronto-North,41,9,12, , 
2023-01-13,Toronto-North,67,24,4, , 
2023-01-14,Toronto-North,43,24,6, , 
2023-01-15,Toronto-North,50,14,23, , 
2023-01-16,Toronto-North,67,20,21, , 
2023-01-17,Toronto-North,60,14,19, , 
2023-01-18,Toronto-North,51,19,10, , 
2023-01-19,Toronto-North,31,20,5, , 
2023-01-20,Toronto-North,26,20,13, , 
2023-01-21,Toronto-North,41,21,7, , 
2023-01-22,Toronto-North,40,16,9, , 
2023-01-23,Toronto-North,54,20,8, , 
2023-01-24,Toronto-North,52,18,12, , 
2023-01-25,Toronto-North,64,21,16, , 
2023-01-26,Toronto-North,71,19,12, , 
2023-01-27,Toronto-North,19,24,15, , 
2023-01-28,Toronto-North,45,27,8, , 
2023-01-29,Toronto-North,34,22,10, , 
2023-01-30,Toronto-North,34,23,16, , 
2023-01-31,Toronto-North,20,25,14, , 
2023-02-01,Toronto-North,25,24,21, , 
2023-02-02,Toronto-North,52,27,14, , 
2023-02-03,Toronto-North,50,24,6, , 
2023-02-04,Toronto-North,14,21,18, , 
2023-02-05,Toronto-North,31,20,15, , 
2023-02-06,Toronto-North,37,23,12, , 
2023-02-07,Toronto-North,44,21,10, , 
2023-02-08,Toronto-North,51,26,15, , 
2023-02-09,Toronto-North,50,18,20, , 
2023-02-10,Toronto-North,53,23,6, , 
2023-02-11,Toronto-North,13,25,6, , 
2023-02-12,Toronto-North,17,22,16, , 
2023-02-13,Toronto-North,48,26,16, , 
2023-02-14,Toronto-North,58,25,18, , 
2023-02-15,Toronto-North,51,25,10, , 
2023-02-16,Toronto-North,29,20,5, , 
2023-02-17,Toronto-North,16,25,5, , 
2023-02-18,Toronto-North,11,22,11, , 
2023-02-19,Toronto-North,41,26,12, , 
2023-02-20,Toronto-North,43,29,8, , 
2023-02-21,Toronto-North,23,25,7, , 
