Date,Time,AQHI,Category
2022-10-24,12:00 am EDT,4,,Moderate Risk
2022-10-24,1:00 am EDT,4,,Moderate Risk
2022-10-24,2:00 am EDT,4,,Moderate Risk
2022-10-24,3:00 am EDT,4,,Moderate Risk
2022-10-24,4:00 am EDT,4,,Moderate Risk
2022-10-24,5:00 am EDT,4,,Moderate Risk
2022-10-24,6:00 am EDT,4,,Moderate Risk
2022-10-24,7:00 am EDT,4,,Moderate Risk
2022-10-24,8:00 am EDT,4,,Moderate Risk
2022-10-24,9:00 am EDT,4,,Moderate Risk
2022-10-24,10:00 am EDT,4,,Moderate Risk
2022-10-24,11:00 am EDT,5,,Moderate Risk
2022-10-24,12:00 pm EDT,5,,Moderate Risk
2022-10-24,1:00 pm EDT,6,,Moderate Risk
2022-10-24,2:00 pm EDT,6,,Moderate Risk
2022-10-24,3:00 pm EDT,6,,Moderate Risk
2022-10-24,4:00 pm EDT,6,,Moderate Risk
2022-10-24,5:00 pm EDT,6,,Moderate Risk
2022-10-24,6:00 pm EDT,6,,Moderate Risk
2022-10-24,7:00 pm EDT,5,,Moderate Risk
2022-10-24,8:00 pm EDT,5,,Moderate Risk
2022-10-24,9:00 pm EDT,5,,Moderate Risk
2022-10-24,10:00 pm EDT,4,,Moderate Risk
2022-10-24,11:00 pm EDT,4,,Moderate Risk
