Burlington, (44008) Hourly, Ground-level Ozone (O3) Concentrations
Station,Burlington (44008)
Address,North Shore Blvd. E./lakeshore Rd.
Latitude,43.314603
Longitude,-79.80277
Elevation, 78 metres
Air Intake Height,5 metres
Pollutant,Ozone (Ozone O3)
Unit, parts per billion (ppb)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
44008,Ozone,2022-02-15,23,25,23,27,32,32,26,17,22,24,25,33,38,40,39,37,37,32,30,32,40,39,36,33,
44008,Ozone,2022-02-16,32,19,33,3,1,0,1,1,19,34,36,38,43,47,49,49,49,48,48,43,43,44,45,43,
44008,Ozone,2022-02-17,41,42,41,26,19,21,7,18,25,28,26,21,21,19,19,20,24,28,29,28,29,30,31,30,
44008,Ozone,2022-02-18,32,33,34,35,34,35,33,31,34,35,35,35,35,35,34,37,38,38,37,36,36,38,38,37,
44008,Ozone,2022-02-19,37,37,35,35,36,37,36,35,35,34,34,35,37,41,43,43,41,40,37,37,38,37,34,33,
44008,Ozone,2022-02-20,31,32,33,35,34,35,33,34,32,35,36,37,38,40,41,42,43,43,42,41,39,38,38,37,
44008,Ozone,2022-02-21,37,34,31,9999,25,22,21,19,20,27,32,32,31,31,36,37,37,37,36,36,38,37,36,37,
44008,Ozone,2022-02-22,37,36,36,35,34,33,32,30,29,28,22,28,31,31,29,18,11,6,0,0,10,20,22,21,
44008,Ozone,2022-02-23,22,24,26,28,27,26,26,27,27,27,29,27,28,30,29,30,28,29,29,28,26,29,30,30,
44008,Ozone,2022-02-24,29,27,24,20,18,14,12,10,10,16,34,37,37,37,37,38,38,40,41,41,41,41,42,41,
44008,Ozone,2022-02-25,40,39,39,39,38,36,24,26,32,34,35,36,37,37,38,39,38,37,34,33,33,25,25,25,
44008,Ozone,2022-02-26,23,24,26,26,25,23,21,23,29,36,39,40,40,41,42,41,41,39,40,41,42,44,44,44,
44008,Ozone,2022-02-27,44,42,41,40,39,38,37,36,34,34,36,38,43,43,45,45,44,44,42,39,41,41,41,40,
44008,Ozone,2022-02-28,39,35,33,9999,25,21,16,15,19,25,33,36,38,39,40,40,40,41,41,37,38,36,38,39,
44008,Ozone,2022-03-01,38,36,35,34,29,14,5,4,13,21,24,26,33,31,27,28,33,34,37,37,36,41,41,40,
44008,Ozone,2022-03-02,40,37,34,35,32,18,7,16,34,38,39,39,39,40,38,38,37,36,35,32,27,28,33,40,
44008,Ozone,2022-03-03,40,37,38,36,31,26,24,22,28,32,34,35,36,37,37,37,37,37,35,30,25,16,16,16,
44008,Ozone,2022-03-04,19,20,21,21,24,19,15,20,29,32,34,34,37,39,40,41,39,36,31,33,35,33,29,25,
44008,Ozone,2022-03-05,27,29,24,10,7,1,1,26,39,37,38,39,40,42,41,42,44,45,43,41,41,42,41,37,
44008,Ozone,2022-03-06,30,22,15,11,5,34,36,37,40,42,41,40,39,40,37,33,32,30,29,29,30,31,31,31,
44008,Ozone,2022-03-07,31,30,30,9999,24,22,25,32,30,35,33,30,33,28,20,18,14,31,36,35,31,30,34,37,
44008,Ozone,2022-03-08,41,41,40,40,40,36,32,32,37,38,39,40,41,42,41,42,41,40,40,40,36,33,33,28,
44008,Ozone,2022-03-09,28,13,20,20,7,1,1,5,15,16,22,30,37,40,37,39,38,37,34,29,35,34,32,32,
44008,Ozone,2022-03-10,24,16,20,7,6,6,3,5,13,30,34,37,38,39,40,40,40,38,30,32,35,35,30,31,
