City,Date,AQHI-H01,AQHI-H02,AQHI-H03,AQHI-H04,AQHI-H05,AQHI-H06,AQHI-H07,AQHI-H08,AQHI-H09,AQHI-H10,AQHI-H11,AQHI-H12,AQHI-H13,AQHI-H14,AQHI-H15,AQHI-H16,AQHI-H17,AQHI-H18,AQHI-H19,AQHI-H20,AQHI-H21,AQHI-H22,AQHI-H23,AQHI-H24
Ottawa Downtown,2022-02-16,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,3,3
Ottawa Downtown,2022-02-17,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2
Ottawa Downtown,2022-02-18,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4
Ottawa Downtown,2022-02-19,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
Ottawa Downtown,2022-02-20,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Ottawa Downtown,2022-02-21,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Ottawa Downtown,2022-02-22,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3
Ottawa Downtown,2022-02-23,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Ottawa Downtown,2022-02-24,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3
Ottawa Downtown,2022-02-25,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,3
Ottawa Downtown,2022-02-26,3,4,3,3,3,4,4,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3
Ottawa Downtown,2022-02-27,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Ottawa Downtown,2022-02-28,3,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,3,3,3,3
Ottawa Downtown,2022-03-01,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Ottawa Downtown,2022-03-02,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3
Ottawa Downtown,2022-03-03,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3
Ottawa Downtown,2022-03-04,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,5,5
Ottawa Downtown,2022-03-05,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Ottawa Downtown,2022-03-06,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,3,3,3,2,2,2,2,2
Ottawa Downtown,2022-03-07,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,2,2,2,2,2,2
Ottawa Downtown,2022-03-08,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Ottawa Downtown,2022-03-09,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3
Ottawa Downtown,2022-03-10,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Ottawa Downtown,2022-03-11,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Ottawa Downtown,2022-03-12,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,2
Ottawa Downtown,2022-03-13,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3
Ottawa Downtown,2022-03-14,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3
Ottawa Downtown,2022-03-15,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4
Ottawa Downtown,2022-03-16,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Ottawa Downtown,2022-03-17,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4
Ottawa Downtown,2022-03-18,4,5,5,5,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2
Ottawa Downtown,2022-03-19,2,2,2,2,2,2,2,2,2,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2
Ottawa Downtown,2022-03-20,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3
Ottawa Downtown,2022-03-21,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Ottawa Downtown,2022-03-22,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3
Ottawa Downtown,2022-03-23,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Ottawa Downtown,2022-03-24,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Ottawa Downtown,2022-03-25,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2
Ottawa Downtown,2022-03-26,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3
Ottawa Downtown,2022-03-27,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Ottawa Downtown,2022-03-28,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Ottawa Downtown,2022-03-29,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Ottawa Downtown,2022-03-30,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Ottawa Downtown,2022-03-31,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Ottawa Downtown,2022-04-01,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Ottawa Downtown,2022-04-02,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3
Ottawa Downtown,2022-04-03,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Ottawa Downtown,2022-04-04,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3
Ottawa Downtown,2022-04-05,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3
Ottawa Downtown,2022-04-06,3,3,3,3,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Ottawa Downtown,2022-04-07,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3
Ottawa Downtown,2022-04-08,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,2,2,3,3,3,3
Ottawa Downtown,2022-04-09,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Ottawa Downtown,2022-04-10,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Ottawa Downtown,2022-04-11,2,2,2,2,2,2,2,2,3,3,3,3,2,2,2,2,2,2,2,2,3,3,3,3
Ottawa Downtown,2022-04-12,2,2,2,2,2,2,2,2,2,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3
Ottawa Downtown,2022-04-13,3,3,3,3,3,3,3,3,4,4,3,3,2,2,2,2,2,3,3,3,3,3,3,3
Ottawa Downtown,2022-04-14,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3
Ottawa Downtown,2022-04-15,3,3,3,3,2,2,2,3,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3
Ottawa Downtown,2022-04-16,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Ottawa Downtown,2022-04-17,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Ottawa Downtown,2022-04-18,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Ottawa Downtown,2022-04-19,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Ottawa Downtown,2022-04-20,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3
Ottawa Downtown,2022-04-21,3,3,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3
Ottawa Downtown,2022-04-22,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3
Ottawa Downtown,2022-04-23,3,3,3,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3
Ottawa Downtown,2022-04-24,3,3,3,3,3,3,3,3,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3
Ottawa Downtown,2022-04-25,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
Ottawa Downtown,2022-04-26,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Ottawa Downtown,2022-04-27,2,2,2,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2
Ottawa Downtown,2022-04-28,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3
Ottawa Downtown,2022-04-29,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
Ottawa Downtown,2022-04-30,3,3,3,3,2,3,3,3,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
Ottawa Downtown,2022-05-01,3,3,3,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
Ottawa Downtown,2022-05-02,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,2,2
Ottawa Downtown,2022-05-03,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Ottawa Downtown,2022-05-04,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Ottawa Downtown,2022-05-05,3,3,2,2,2,2,2,2,2,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3
Ottawa Downtown,2022-05-06,3,3,2,2,2,2,2,2,2,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3
Ottawa Downtown,2022-05-07,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3
Ottawa Downtown,2022-05-08,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,3,3,3,3,3,4,4,4
Ottawa Downtown,2022-05-09,4,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4
Ottawa Downtown,2022-05-10,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Ottawa Downtown,2022-05-11,3,3,3,3,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Ottawa Downtown,2022-05-12,3,3,3,3,3,3,2,2,2,2,3,3,3,3,3,4,4,4,3,3,3,3,3,3
Ottawa Downtown,2022-05-13,3,3,3,3,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3
Ottawa Downtown,2022-05-14,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3
Ottawa Downtown,2022-05-15,3,3,2,2,3,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2
Ottawa Downtown,2022-05-16,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Ottawa Downtown,2022-05-17,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2
Ottawa Downtown,2022-05-18,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,3,3,2
Ottawa Downtown,2022-05-19,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,3,3,2
Ottawa Downtown,2022-05-20,3,3,3,3,3,3,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2
Ottawa Downtown,2022-05-21,3,3,3,3,3,3,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2
Ottawa Downtown,2022-05-22,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1
Ottawa Downtown,2022-05-23,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2
Ottawa Downtown,2022-05-24,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
Ottawa Downtown,2022-05-25,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3
Ottawa Downtown,2022-05-26,3,3,3,3,3,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3
Ottawa Downtown,2022-05-27,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
Ottawa Downtown,2022-05-28,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
Ottawa Downtown,2022-05-29,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3
Ottawa Downtown,2022-05-30,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4
Ottawa Downtown,2022-05-31,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,3,2,2,2,2,2,2
Ottawa Downtown,2022-06-01,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Ottawa Downtown,2022-06-02,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Ottawa Downtown,2022-06-03,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Ottawa Downtown,2022-06-04,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2
Ottawa Downtown,2022-06-05,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3
Ottawa Downtown,2022-06-06,3,3,3,3,2,2,1,1,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3
Ottawa Downtown,2022-06-07,3,2,2,2,2,2,2,2,3,3,3,3,3,2,2,2,3,3,3,3,3,3,2,2
Ottawa Downtown,2022-06-08,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
Ottawa Downtown,2022-06-09,2,2,2,2,2,1,1,1,1,1,1,1,1,1,3,3,2,2,2,2,2,2,1,1
Ottawa Downtown,2022-06-10,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
Ottawa Downtown,2022-06-11,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3
Ottawa Downtown,2022-06-12,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3
Ottawa Downtown,2022-06-13,3,2,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
Ottawa Downtown,2022-06-14,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
Ottawa Downtown,2022-06-15,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,2
Ottawa Downtown,2022-06-16,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4,3
Ottawa Downtown,2022-06-17,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1
Ottawa Downtown,2022-06-18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2
Ottawa Downtown,2022-06-19,2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2
Ottawa Downtown,2022-06-20,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3
Ottawa Downtown,2022-06-21,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Ottawa Downtown,2022-06-22,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,4,4,4,3,3,3,3
Ottawa Downtown,2022-06-23,3,3,3,3,2,2,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
Ottawa Downtown,2022-06-24,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
Ottawa Downtown,2022-06-25,2,2,2,2,2,2,2,1,1,1,2,2,2,3,3,3,3,3,3,3,3,2,2,3
Ottawa Downtown,2022-06-26,3,3,3,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,3
Ottawa Downtown,2022-06-27,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,2,2,2,1,1,1
Ottawa Downtown,2022-06-28,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
Ottawa Downtown,2022-06-29,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2
Ottawa Downtown,2022-06-30,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3
Ottawa Downtown,2022-07-01,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4
Ottawa Downtown,2022-07-02,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Ottawa Downtown,2022-07-03,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
Ottawa Downtown,2022-07-04,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Ottawa Downtown,2022-07-05,2,2,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
Ottawa Downtown,2022-07-06,2,2,1,1,1,1,1,2,2,2,2,2,1,1,1,3,2,2,2,2,2,2,2,2
Ottawa Downtown,2022-07-07,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
Ottawa Downtown,2022-07-08,2,2,2,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2
Ottawa Downtown,2022-07-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2
Ottawa Downtown,2022-07-10,2,2,1,1,1,1,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
Ottawa Downtown,2022-07-11,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4
Ottawa Downtown,2022-07-12,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
Ottawa Downtown,2022-07-13,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,2
Ottawa Downtown,2022-07-14,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
Ottawa Downtown,2022-07-15,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
Ottawa Downtown,2022-07-16,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3
Ottawa Downtown,2022-07-17,3,3,3,2,3,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3
Ottawa Downtown,2022-07-18,3,3,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2
Ottawa Downtown,2022-07-19,2,2,2,2,2,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3
Ottawa Downtown,2022-07-20,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3
Ottawa Downtown,2022-07-21,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2
Ottawa Downtown,2022-07-22,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Ottawa Downtown,2022-07-23,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
Ottawa Downtown,2022-07-24,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2
Ottawa Downtown,2022-07-25,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2,1,1
Ottawa Downtown,2022-07-26,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,2,2,3,2
Ottawa Downtown,2022-07-27,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3
Ottawa Downtown,2022-07-28,3,3,3,3,3,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3
