Date,City,PM25,O3,NO2,SO2,CO
2023-04-02,Toronto-North,21.00,32.00,3.00,1.00, 
2023-04-03,Toronto-North,19.00,27.00,11.00,,1.00
2023-04-04,Toronto-North,26.00,34.00,13.00,1.00, 
2023-04-05,Toronto-North,30.00,28.00,6.00,1.00,3.00
2023-04-06,Toronto-North,31.00,34.00,7.00,1.00,3.00
2023-04-07,Toronto-North,25.00,33.00,4.00,, 
2023-04-08,Toronto-North,15.00,33.00,6.00,1.00,2.00
2023-04-09,Toronto-North,26.00,39.00,9.00,,6.00
2023-04-10,Toronto-North,34.00,39.00,20.00,1.00,1.00
2023-04-11,Toronto-North,54.00,43.00,10.00,1.00, 
2023-04-12,Toronto-North,54.00,46.00,10.00,, 
2023-04-13,Toronto-North,46.00,47.00,10.00,1.00,2.00
2023-04-14,Toronto-North,54.00,54.00,14.00,1.00,2.00
2023-04-15,Toronto-North,68.00,50.00,11.00,,1.00
2023-04-16,Toronto-North,72.00,57.00,15.00,1.00,5.00
2023-04-17,Toronto-North,65.00,24.00,4.00,, 
2023-04-18,Toronto-North,17.00,31.00,4.00,1.00, 
2023-04-19,Toronto-North,13.00,33.00,4.00,1.00,4.00
2023-04-20,Toronto-North,12.00,36.00,3.00,, 
2023-04-21,Toronto-North,20.00,31.00,5.00,1.00,1.00
2023-04-22,Toronto-North,28.00,27.00,6.00,, 
2023-04-23,Toronto-North,16.00,30.00,4.00,1.00,1.00
2023-04-24,Toronto-North,28.00,26.00,5.00,1.00, 
2023-04-25,Toronto-North,17.00,32.00,9.00,,2.00
2023-04-26,Toronto-North,36.00,21.00,9.00,1.00,5.00
2023-04-27,Toronto-North,25.00,34.00,8.00,1.00, 
2023-04-28,Toronto-North,30.00,40.00,6.00,, 
2023-04-29,Toronto-North,44.00,36.00,3.00,1.00,1.00
2023-04-30,Toronto-North,22.00,27.00,5.00,, 
2023-05-01,Toronto-North,28.00,22.00,9.00,1.00,6.00
2023-05-02,Toronto-North,29.00,16.00,6.00,, 
2023-05-03,Toronto-North,15.00,21.00,4.00,1.00, 
2023-05-04,Toronto-North,10.00,20.00,5.00,1.00, 
2023-05-05,Toronto-North,15.00,28.00,7.00,,5.00
2023-05-06,Toronto-North,24.00,33.00,12.00,1.00,1.00
2023-05-07,Toronto-North,39.00,26.00,12.00,, 
2023-05-08,Toronto-North,37.00,38.00,4.00,,1.00
2023-05-09,Toronto-North,19.00,31.00,4.00,1.00,4.00
2023-05-10,Toronto-North,18.00,32.00,14.00,, 
2023-05-11,Toronto-North,30.00,42.00,18.00,1.00, 
2023-05-12,Toronto-North,50.00,53.00,9.00,, 
2023-05-13,Toronto-North,43.00,33.00,2.00,1.00,1.00
2023-05-14,Toronto-North,33.00,32.00,2.00,1.00,6.00
2023-05-15,Toronto-North,20.00,36.00,5.00,,1.00
2023-05-16,Toronto-North,24.00,32.00,9.00,1.00, 
2023-05-17,Toronto-North,36.00,29.00,2.00,,2.00
2023-05-18,Toronto-North,14.00,35.00,7.00,1.00,3.00
2023-05-19,Toronto-North,20.00,38.00,10.00,1.00, 
2023-05-20,Toronto-North,43.00,24.00,4.00,1.00, 
2023-05-21,Toronto-North,53.00,31.00,2.00,, 
2023-05-22,Toronto-North,29.00,31.00,2.00,1.00,2.00
2023-05-23,Toronto-North,35.00,34.00,8.00,, 
2023-05-24,Toronto-North,40.00,28.00,9.00,1.00,2.00
2023-05-25,Toronto-North,34.00,29.00,3.00,,2.00
2023-05-26,Toronto-North,16.00,33.00,6.00,1.00,2.00
2023-05-27,Toronto-North,25.00,44.00,12.00,1.00, 
2023-05-28,Toronto-North,36.00,47.00,7.00,1.00, 
2023-05-29,Toronto-North,30.00,42.00,3.00,,3.00
2023-05-30,Toronto-North,35.00,53.00,8.00,1.00,2.00
2023-05-31,Toronto-North,40.00,60.00,13.00,, 
2023-06-01,Toronto-North,62.00,59.00,11.00,1.00,1.00
2023-06-02,Toronto-North,63.00,45.00,4.00,, 
2023-06-03,Toronto-North,54.00,30.00,2.00,1.00,2.00
2023-06-04,Toronto-North,58.00,34.00,3.00,1.00,1.00
